台の種類,総回転数,現在G,平均当選G,差枚,前回当選G,前回連チャン数,3連以上の連チャン数,駆け抜け,当たり回数,次の連チャン数,次の当たりゲーム数
北斗の拳,175,70,145,400,85,3,1,0,1,1,148
北斗の拳,1167,31,428,1900,11,1,1,1,2,2,991
北斗の拳,511,230,501,-700,281,1,0,1,1,3,620
北斗の拳,634,227,302,-900,381,2,0,1,2,3,336
北斗の拳,665,18,595,0,583,7,1,0,1,5,73
北斗の拳,226,132,94,200,43,2,0,0,2,1,407
北斗の拳,752,65,351,-500,49,3,1,0,2,2,111
北斗の拳,1098,59,316,400,31,1,2,1,3,8,1232
北斗の拳,488,12,428,150,422,6,1,0,1,1,61
北斗の拳,808,41,384,-600,23,2,0,0,2,9,385
北斗の拳,856,719,418,-1000,137,1,0,1,1,1,721
北斗の拳,871,261,360,800,322,9,2,0,2,1,849
北斗の拳,642,148,190,100,123,1,1,1,3,1,1303
北斗の拳,1112,196,258,-300,628,2,1,1,4,6,673
北斗の拳,974,10,271,600,459,5,2,1,3,3,105
北斗の拳,1057,223,191,-100,49,1,1,2,5,2,330
北斗の拳,875,10,238,800,77,10,3,0,3,4,966
北斗の拳,2365,10,433,-800,312,2,2,0,5,1,761
北斗の拳,1539,7,324,600,328,3,3,1,4,3,825
北斗の拳,3795,335,318,-1200,143,2,3,2,11,11,939
北斗の拳,2592,345,398,-1000,131,1,3,1,6,9,431
北斗の拳,3570,9,287,100,319,5,6,3,11,1,440
北斗の拳,2613,214,260,300,288,4,5,2,9,3,1232
北斗の拳,2588,361,225,400,127,2,5,2,10,9,453
北斗の拳,1972,87,356,-600,430,4,4,0,5,11,1078
北斗の拳,1539,171,337,400,213,1,2,1,4,3,255
北斗の拳,2022,221,280,1600,75,13,5,0,6,2,239
北斗の拳,2210,483,386,800,788,20,2,3,5,5,1024
北斗の拳,2577,269,609,-1800,177,3,3,0,4,1,883
北斗の拳,2210,126,155,1900,355,5,7,4,12,5,351
北斗の拳,2991,12,564,-1700,1312,4,4,1,5,10,92
北斗の拳,3438,172,275,700,497,7,5,4,11,7,1306
北斗の拳,3058,653,356,-1400,426,2,3,2,8,2,949
北斗の拳,2056,253,319,-1000,165,3,2,3,6,1,473
北斗の拳,2448,117,384,-2000,638,1,1,2,6,1,181
北斗の拳,2764,4,316,-1300,522,6,5,2,8,2,60
北斗の拳,1720,167,231,1800,52,1,1,5,6,5,519
北斗の拳,1922,248,455,-1300,179,4,2,1,4,3,356
北斗の拳,2791,220,830,-200,687,22,2,0,3,2,307
北斗の拳,3688,479,343,-1900,262,2,2,3,10,3,767
北斗の拳,2377,282,529,-300,1304,13,2,2,4,1,430
北斗の拳,2670,409,502,-1600,1003,2,2,1,5,3,1034
北斗の拳,3541,106,270,-1100,399,3,5,5,12,1,142
北斗の拳,1400,91,290,1100,358,15,2,1,4,4,412
北斗の拳,1869,335,194,4200,36,1,2,3,7,7,462
北斗の拳,2601,42,333,-500,1112,3,4,1,7,2,129
ゴットイーター,446,1,446,800,128,6,1,0,1,2,132
ゴットイーター,1892,41,473,-600,131,3,3,0,4,4,1032
ゴットイーター,543,134,543,-700,308,2,0,0,1,1,232
ゴットイーター,797,0,797,-700,633,4,1,0,1,2,128
ゴットイーター,716,1,716,1300,133,11,1,0,1,1,94
ゴットイーター,882,132,882,200,332,8,1,0,1,1,332
ゴットイーター,308,2,308,200,128,4,1,0,1,5,131
ゴットイーター,2063,369,412,-100,130,4,4,1,5,5,531
ゴットイーター,5988,622,460,-1300,294,2,7,1,13,3,1032
ゴットイーター,3293,761,365,-2800,331,2,1,1,9,5,1000
ゴットイーター,4483,288,448,700,264,4,7,2,10,1,288
ゴットイーター,4858,105,404,-1600,132,2,5,3,12,3,132
ゴットイーター,4497,13,899,1200,1031,3,5,0,5,24,132
ゴットイーター,5667,280,708,4200,331,3,7,0,8,6,1034
ゴットイーター,4589,172,573,1700,72,14,6,1,8,1,332
ゴットイーター,3203,347,400,200,131,4,5,2,8,13,382
ゴットイーター,5587,312,507,600,131,1,9,2,11,1,334
ゴットイーター,4653,160,517,9000,105,1,6,3,8,20,259
ゴットイーター,3158,183,451,-300,305,5,5,1,7,2,331
ゴットイーター,1195,130,597,-600,132,3,2,0,2,1,331
ゴットイーター,3892,397,486,-1000,331,2,4,3,8,5,1031
ゴットイーター,4514,41,564,1800,132,4,6,1,8,2,115
ゴットイーター,3626,144,518,-3200,993,3,4,2,7,3,993
ゴットイーター,4021,2,502,-2600,128,4,5,1,8,1,132
マギアレコード,2971,101,330,-1200,272,4,2,6,9,4,502
マギアレコード,3043,112,380,-2600,128,4,1,7,8,3,172
マギアレコード,3437,0,343,-2000,76,1,1,9,10,1,297
マギアレコード,1772,23,295,-2100,316,1,0,5,7,1,605
マギアレコード,2138,1,356,-800,356,1,1,4,6,1,522
マギアレコード,1528,171,218,-2000,183,1,0,6,6,1,171
マギアレコード,3877,330,276,200,65,1,3,8,14,6,692
アイドルマスター,2997,411,428,-1100,141,1,2,4,7,1,536
アイドルマスター,1461,130,487,-1100,338,1,1,2,3,2,237
アイドルマスター,2446,181,611,-1400,322,5,2,2,4,1,421
アイドルマスター,3454,134,493,-2300,316,1,3,4,7,3,530
アイドルマスター,3499,133,388,-2900,130,2,1,6,9,1,837
かぐや,687,158,340,-500,165,2,0,2,3,1,355
かぐや,1271,57,317,-1000,615,2,0,2,3,5,688
かぐや,1236,62,123,300,163,1,1,2,4,1,612
かぐや,4760,58,153,-500,517,1,5,7,16,2,355
かぐや,3480,80,232,-2500,141,2,0,7,11,1,851
かぐや,2894,272,96,3400,332,18,4,1,5,1,318
かぐや,4461,154,117,4000,166,1,1,3,10,2,318
かぐや,3254,160,95,5000,162,5,3,3,7,1,425
かぐや,2692,138,128,1900,323,1,3,3,6,1,338
かぐや,3762,168,163,-800,272,9,2,7,10,5,505
